x,y,Cell type,CD4 intensity
419.25,180.25,T Helper Cell,5.279882
243.25,182.0,T Helper Cell,16.016262
435.5,188.75,T Helper Cell,7.848321
423.0,188.0,T Helper Cell,6.344102
243.75,190.5,T Helper Cell,11.490794
241.0,195.0,T Helper Cell,11.955879
252.5,200.5,T Helper Cell,4.345453
433.5,199.25,T Helper Cell,3.649888
243.5,202.75,T Helper Cell,7.594842
440.25,205.0,T Helper Cell,8.598129
431.5,210.5,T Helper Cell,4.80841
427.5,217.75,T Helper Cell,4.120691
225.75,220.75,T Helper Cell,3.176852
235.75,226.5,T Helper Cell,5.997674
459.5,227.5,T Helper Cell,6.510433
468.25,230.25,T Helper Cell,5.063975
239.25,236.0,T Helper Cell,3.778678
473.0,240.75,T Helper Cell,6.764215
230.5,245.75,T Helper Cell,14.768655
227.25,253.5,T Helper Cell,17.921764
250.75,258.75,T Helper Cell,7.455037
458.0,259.5,T Helper Cell,4.411259
219.0,262.0,T Helper Cell,19.416899
229.0,267.0,T Helper Cell,16.781113
454.25,266.5,T Helper Cell,15.598538
443.5,270.0,T Helper Cell,9.53376
215.75,268.25,T Helper Cell,19.21474
220.25,275.0,T Helper Cell,23.658382
451.0,275.75,T Helper Cell,19.264767
211.25,275.75,T Helper Cell,7.534741
227.0,280.25,T Helper Cell,7.005867
197.0,279.25,T Helper Cell,6.722795
191.25,277.25,T Helper Cell,4.141129
445.5,282.25,T Helper Cell,3.513631
449.5,288.25,T Helper Cell,4.908978
215.0,285.25,T Helper Cell,7.103314
202.5,289.0,T Helper Cell,16.281628
174.5,287.75,T Helper Cell,3.548443
267.5,287.25,T Helper Cell,5.878579
213.0,292.75,T Helper Cell,5.116788
249.5,296.5,T Helper Cell,10.30528
238.5,295.25,T Helper Cell,4.632693
205.5,296.5,T Helper Cell,9.05405
459.5,296.5,T Helper Cell,3.138272
257.25,301.0,T Helper Cell,19.712496
222.0,299.5,T Helper Cell,3.513573
238.5,307.75,T Helper Cell,3.530383
265.0,304.0,T Helper Cell,5.248529
220.5,312.25,T Helper Cell,3.531952
439.75,315.25,T Helper Cell,3.462958
229.75,327.0,T Helper Cell,7.347713
236.75,326.75,T Helper Cell,11.426832
220.0,339.75,T Helper Cell,10.185215
134.25,340.0,T Helper Cell,3.168571
232.5,343.25,T Helper Cell,3.248981
302.0,345.25,T Helper Cell,3.431915
289.25,352.25,T Helper Cell,10.857985
238.75,357.0,T Helper Cell,16.532846
260.25,363.5,T Helper Cell,7.505744
271.75,362.0,T Helper Cell,3.172225
245.0,364.0,T Helper Cell,12.795738
283.25,363.0,T Helper Cell,3.149788
334.25,371.5,T Helper Cell,5.58237
269.75,373.5,T Helper Cell,15.885582
345.0,374.5,T Helper Cell,3.950262
276.75,373.75,T Helper Cell,3.727437
327.5,374.75,T Helper Cell,23.211626
262.5,376.0,T Helper Cell,12.969283
318.75,384.0,T Helper Cell,11.475483
276.0,382.75,T Helper Cell,6.45504
266.25,385.0,T Helper Cell,16.384726
330.25,385.0,T Helper Cell,4.004465
168.0,389.5,T Helper Cell,3.766301
268.0,396.25,T Helper Cell,15.806
313.25,395.25,T Helper Cell,13.50131
266.0,409.0,T Helper Cell,12.088784
307.5,410.25,T Helper Cell,14.870163
286.5,403.75,T Helper Cell,3.110583
600.25,39.5,T Helper Cell,7.359906
634.25,59.5,T Helper Cell,5.802307
753.25,81.5,T Helper Cell,14.07172
731.25,88.5,T Helper Cell,3.155069
738.25,92.5,T Helper Cell,15.348001
853.5,113.5,T Helper Cell,11.422289
854.25,127.5,T Helper Cell,4.365088
855.25,159.25,T Helper Cell,14.131692
859.0,174.5,T Helper Cell,7.675941
479.75,228.0,T Helper Cell,7.130969
488.75,230.5,T Helper Cell,10.21331
484.5,244.75,T Helper Cell,4.466687
488.25,253.25,T Helper Cell,10.630405
486.5,265.0,T Helper Cell,3.690783
475.5,275.5,T Helper Cell,4.41926
523.5,274.5,T Helper Cell,4.056649
728.0,285.0,T Helper Cell,4.145079
721.75,320.5,T Helper Cell,13.11893
760.75,333.0,T Helper Cell,3.200661
480.0,346.5,T Helper Cell,4.760373
724.0,357.75,T Helper Cell,16.372005
733.25,361.0,T Helper Cell,15.473826
757.5,368.75,T Helper Cell,3.952892
764.75,374.25,T Helper Cell,10.359097
844.5,373.5,T Helper Cell,8.345679
562.25,417.75,T Helper Cell,9.383618
891.5,227.25,T Helper Cell,5.291201
890.5,267.75,T Helper Cell,4.578824
894.0,279.25,T Helper Cell,6.93373
897.75,288.5,T Helper Cell,7.456189
896.75,346.75,T Helper Cell,3.214582
891.75,351.0,T Helper Cell,8.473561
895.5,358.0,T Helper Cell,3.239706
902.75,359.75,T Helper Cell,3.226444
919.75,361.5,T Helper Cell,6.9196
15.25,707.0,T Helper Cell,4.437802
5.75,708.5,T Helper Cell,3.830859
15.0,715.0,T Helper Cell,5.636986
4.5,727.0,T Helper Cell,6.153582
41.0,737.75,T Helper Cell,6.199478
7.25,752.5,T Helper Cell,6.459551
38.0,777.25,T Helper Cell,3.344875
279.25,428.25,T Helper Cell,6.673427
77.0,465.0,T Helper Cell,10.000188
169.0,468.25,T Helper Cell,12.745982
159.25,477.0,T Helper Cell,6.287298
165.5,483.25,T Helper Cell,6.950339
155.75,486.75,T Helper Cell,6.403838
157.25,494.25,T Helper Cell,6.447136
377.25,499.25,T Helper Cell,4.846907
347.25,501.5,T Helper Cell,4.428955
346.0,526.75,T Helper Cell,4.722286
345.75,537.75,T Helper Cell,5.158868
315.0,543.75,T Helper Cell,5.276547
348.0,548.5,T Helper Cell,5.471007
315.0,551.5,T Helper Cell,5.568429
340.0,555.75,T Helper Cell,4.390599
347.25,557.75,T Helper Cell,5.000307
354.0,560.25,T Helper Cell,6.078674
347.5,567.25,T Helper Cell,21.532099
358.25,568.25,T Helper Cell,13.928716
351.25,578.75,T Helper Cell,3.075936
347.0,590.75,T Helper Cell,8.267368
394.75,598.25,T Helper Cell,4.504671
387.25,600.75,T Helper Cell,8.23457
105.0,730.25,T Helper Cell,16.669088
125.5,730.75,T Helper Cell,18.221222
92.75,732.75,T Helper Cell,4.179997
113.25,736.0,T Helper Cell,9.485075
122.5,741.0,T Helper Cell,3.530067
74.75,745.5,T Helper Cell,4.01322
131.75,745.5,T Helper Cell,3.809122
137.0,755.0,T Helper Cell,8.783769
128.5,754.5,T Helper Cell,14.825065
126.25,763.75,T Helper Cell,12.942964
135.0,766.0,T Helper Cell,19.892975
161.5,768.0,T Helper Cell,4.350713
154.75,782.0,T Helper Cell,4.12109
188.25,791.5,T Helper Cell,10.080503
194.25,794.0,T Helper Cell,14.98478
566.75,430.75,T Helper Cell,5.554148
861.5,443.5,T Helper Cell,13.132421
874.0,451.0,T Helper Cell,12.592884
859.75,454.25,T Helper Cell,8.130291
696.25,451.25,T Helper Cell,3.719313
868.5,457.25,T Helper Cell,8.28926
866.0,469.5,T Helper Cell,7.988567
854.75,500.75,T Helper Cell,15.173155
857.25,508.25,T Helper Cell,11.744758
713.75,552.25,T Helper Cell,6.651458
715.0,563.25,T Helper Cell,5.444544
600.0,640.25,T Helper Cell,9.698292
605.5,650.0,T Helper Cell,7.55618
815.5,662.75,T Helper Cell,3.596009
811.75,677.0,T Helper Cell,4.597704
799.25,684.0,T Helper Cell,5.532067
812.0,690.75,T Helper Cell,15.604256
823.0,688.5,T Helper Cell,9.724845
652.5,695.0,T Helper Cell,6.9521
797.5,695.25,T Helper Cell,7.878197
825.5,697.25,T Helper Cell,10.673309
806.0,696.0,T Helper Cell,8.207137
814.75,699.75,T Helper Cell,14.251596
658.75,700.0,T Helper Cell,3.928079
808.5,704.25,T Helper Cell,17.496504
827.25,710.75,T Helper Cell,13.992805
815.5,706.25,T Helper Cell,14.615952
831.5,724.0,T Helper Cell,4.697124
790.25,727.0,T Helper Cell,12.041735
814.0,724.75,T Helper Cell,12.889894
702.0,735.75,T Helper Cell,7.652822
827.75,735.5,T Helper Cell,3.263827
735.0,748.25,T Helper Cell,6.860159
743.75,749.0,T Helper Cell,8.289914
837.0,760.0,T Helper Cell,11.862509
736.5,760.5,T Helper Cell,4.34294
849.75,765.25,T Helper Cell,12.249507
870.75,766.25,T Helper Cell,7.527115
842.75,774.5,T Helper Cell,7.268979
851.75,775.5,T Helper Cell,10.498993
607.75,801.75,T Helper Cell,8.823772
922.5,432.0,T Helper Cell,3.6785
880.0,472.75,T Helper Cell,4.707469
919.25,593.75,T Helper Cell,10.784046
961.0,695.0,T Helper Cell,9.578906
900.0,801.0,T Helper Cell,12.220319
886.25,796.75,T Helper Cell,9.232391
882.25,802.0,T Helper Cell,9.893931
888.5,807.5,T Helper Cell,31.914715
880.25,809.75,T Helper Cell,16.851498
895.5,815.5,T Helper Cell,5.31674
886.25,817.25,T Helper Cell,20.867886
874.5,817.0,T Helper Cell,12.105298
192.5,833.0,T Helper Cell,9.87393
433.75,832.75,T Helper Cell,10.078404
203.25,839.0,T Helper Cell,13.540112
159.25,960.0,T Helper Cell,3.70743
880.75,823.5,T Helper Cell,10.375938
925.5,831.0,T Helper Cell,8.249872
613.0,819.25,T Helper Cell,6.472639
617.25,834.0,T Helper Cell,10.764385
639.0,845.5,T Helper Cell,4.616867
829.0,856.5,T Helper Cell,3.843075
676.5,869.75,T Helper Cell,7.936729
687.75,873.75,T Helper Cell,4.129463
807.5,878.0,T Helper Cell,4.506102
734.0,925.75,T Helper Cell,6.922285
817.25,931.0,T Helper Cell,6.138755
848.75,942.25,T Helper Cell,7.773762
772.5,945.5,T Helper Cell,8.440413
849.0,953.5,T Helper Cell,5.956024
429.75,79.5,Regulatory T Cell,5.828871
421.25,157.25,Regulatory T Cell,4.989995
259.25,162.0,Regulatory T Cell,10.944139
443.25,164.75,Regulatory T Cell,3.891917
295.5,404.75,Regulatory T Cell,3.491639
544.25,226.5,Regulatory T Cell,3.648031
515.75,251.75,Regulatory T Cell,9.131817
353.5,499.5,Regulatory T Cell,9.251854
254.75,120.75,Cytotoxic T Cell,1.290031
616.75,48.75,Cytotoxic T Cell,2.349533
725.25,326.0,Cytotoxic T Cell,8.373341
337.75,564.75,Cytotoxic T Cell,0.752178
547.75,539.5,Cytotoxic T Cell,0.57135
30.25,17.25,Macrophage,0.575663
17.0,64.25,Macrophage,1.802228
70.5,169.75,Macrophage,0.313753
60.5,243.5,Macrophage,0.787477
69.75,353.25,Macrophage,0.462272
33.25,363.25,Macrophage,0.328931
70.25,366.75,Macrophage,0.755651
64.75,391.0,Macrophage,0.415901
446.0,27.0,Macrophage,1.980241
230.75,70.25,Macrophage,1.88378
250.25,75.25,Macrophage,0.543062
105.5,77.75,Macrophage,1.649376
399.0,78.25,Macrophage,0.936367
392.0,79.5,Macrophage,0.586974
259.25,81.25,Macrophage,0.561324
384.0,92.75,Macrophage,0.581819
379.75,100.0,Macrophage,2.954584
269.5,106.25,Macrophage,2.320199
89.5,108.75,Macrophage,0.592803
85.75,120.25,Macrophage,0.54355
372.0,119.25,Macrophage,0.584143
83.0,127.5,Macrophage,0.653086
255.75,142.0,Macrophage,1.105975
400.0,145.0,Macrophage,1.165824
265.0,150.75,Macrophage,1.896267
79.5,158.0,Macrophage,0.509866
282.25,158.0,Macrophage,1.078291
272.0,186.25,Macrophage,0.696095
454.0,188.0,Macrophage,1.567244
453.0,198.25,Macrophage,1.948999
217.75,231.0,Macrophage,1.735396
459.5,238.0,Macrophage,1.283913
113.75,237.0,Macrophage,1.273836
449.5,237.0,Macrophage,1.227942
438.5,241.0,Macrophage,0.9409
439.0,248.5,Macrophage,0.455871
79.5,256.75,Macrophage,0.542883
428.75,258.0,Macrophage,0.317589
440.5,258.25,Macrophage,0.632718
435.75,262.75,Macrophage,0.396845
209.25,265.25,Macrophage,0.650301
273.25,269.5,Macrophage,0.740496
279.75,277.0,Macrophage,0.606237
269.0,276.5,Macrophage,0.844204
274.25,286.25,Macrophage,0.685574
242.5,284.75,Macrophage,1.632224
462.25,291.0,Macrophage,0.987573
174.25,299.5,Macrophage,0.62731
464.75,303.0,Macrophage,1.827719
471.25,303.25,Macrophage,0.308268
163.5,304.75,Macrophage,0.497705
170.5,305.25,Macrophage,0.599183
203.25,309.25,Macrophage,0.915382
247.25,312.75,Macrophage,0.916077
145.5,324.25,Macrophage,0.389102
204.0,323.5,Macrophage,2.803306
194.25,324.0,Macrophage,0.685242
462.5,324.75,Macrophage,0.37992
247.25,327.25,Macrophage,1.149239
75.25,327.75,Macrophage,2.416873
135.25,327.5,Macrophage,0.439472
175.0,328.75,Macrophage,0.954165
192.25,331.5,Macrophage,0.484832
246.0,339.5,Macrophage,1.648111
319.75,349.0,Macrophage,1.10379
335.25,352.0,Macrophage,0.481737
429.5,357.25,Macrophage,0.291307
417.0,356.75,Macrophage,0.395257
339.75,361.5,Macrophage,0.85638
407.0,363.5,Macrophage,0.376952
430.75,369.0,Macrophage,0.884155
240.0,369.75,Macrophage,1.408617
444.25,370.0,Macrophage,0.331886
352.5,377.0,Macrophage,0.47988
427.5,377.0,Macrophage,0.567217
253.0,381.0,Macrophage,2.545789
412.5,401.5,Macrophage,0.327911
109.5,403.5,Macrophage,0.290735
97.0,408.25,Macrophage,0.548976
101.5,414.0,Macrophage,0.322189
610.25,40.0,Macrophage,1.511832
767.25,66.0,Macrophage,0.540229
757.0,92.0,Macrophage,2.451789
747.25,95.5,Macrophage,1.083851
572.0,100.75,Macrophage,0.669115
828.5,109.75,Macrophage,0.311316
824.75,116.25,Macrophage,0.373147
487.5,142.0,Macrophage,1.162828
476.5,161.75,Macrophage,0.381437
865.75,162.75,Macrophage,2.521108
818.0,171.75,Macrophage,0.659777
604.0,172.25,Macrophage,0.415519
482.5,194.5,Macrophage,0.454203
546.25,193.25,Macrophage,1.519402
489.25,199.75,Macrophage,0.436466
549.0,199.0,Macrophage,0.57422
625.25,209.75,Macrophage,0.363679
491.75,210.5,Macrophage,0.392593
534.25,215.75,Macrophage,0.551399
555.25,218.0,Macrophage,0.779991
864.25,218.5,Macrophage,0.457316
563.75,229.0,Macrophage,0.522099
553.75,232.5,Macrophage,0.350474
545.25,235.0,Macrophage,0.683766
559.75,239.0,Macrophage,0.471625
570.25,239.75,Macrophage,0.520376
733.5,244.0,Macrophage,0.484094
716.75,253.0,Macrophage,0.86991
480.0,255.5,Macrophage,0.876671
498.5,261.25,Macrophage,2.653347
720.25,277.25,Macrophage,1.042547
537.0,277.5,Macrophage,1.167976
524.75,279.25,Macrophage,1.144065
709.5,289.25,Macrophage,0.62959
620.5,293.25,Macrophage,0.609369
524.75,299.25,Macrophage,0.626967
717.75,303.75,Macrophage,1.547199
544.75,311.25,Macrophage,0.356062
682.0,314.0,Macrophage,0.331158
713.5,319.5,Macrophage,0.698324
732.5,319.25,Macrophage,0.534818
550.75,325.0,Macrophage,0.32415
672.5,326.5,Macrophage,1.192826
563.0,328.25,Macrophage,0.493375
475.75,332.5,Macrophage,2.441013
672.0,336.0,Macrophage,1.069375
714.5,355.5,Macrophage,1.281858
596.25,386.5,Macrophage,0.375019
565.75,394.0,Macrophage,0.411813
564.0,402.0,Macrophage,0.463671
578.5,403.5,Macrophage,0.735733
829.0,404.75,Macrophage,0.483741
771.5,410.0,Macrophage,2.928807
519.5,414.75,Macrophage,0.938722
829.0,414.75,Macrophage,0.343315
778.25,415.5,Macrophage,0.858656
861.5,417.75,Macrophage,0.485323
909.75,34.75,Macrophage,0.63923
891.25,91.0,Macrophage,0.417749
888.5,200.0,Macrophage,0.534787
892.75,214.25,Macrophage,1.543275
904.25,223.0,Macrophage,0.579966
898.75,297.25,Macrophage,1.79798
903.5,315.5,Macrophage,0.606589
880.25,336.25,Macrophage,0.443769
891.0,341.5,Macrophage,0.678931
901.5,351.25,Macrophage,1.32632
882.0,364.25,Macrophage,0.55912
876.0,389.25,Macrophage,1.803357
879.25,401.25,Macrophage,1.738818
965.75,404.0,Macrophage,0.644442
878.25,408.5,Macrophage,1.565443
65.0,443.5,Macrophage,1.921356
69.0,450.5,Macrophage,0.352501
67.5,457.75,Macrophage,0.272956
28.0,464.5,Macrophage,0.765838
34.5,477.0,Macrophage,0.4841
30.75,485.75,Macrophage,0.471506
13.25,653.25,Macrophage,0.411477
45.5,679.75,Macrophage,0.36663
35.5,682.5,Macrophage,0.780669
18.25,695.5,Macrophage,0.31646
27.0,696.0,Macrophage,0.595784
3.5,697.0,Macrophage,0.48291
17.5,730.5,Macrophage,0.769863
33.5,755.75,Macrophage,0.436679
7.75,761.75,Macrophage,0.713729
3.25,789.5,Macrophage,0.483154
300.0,421.25,Macrophage,2.873127
88.25,429.0,Macrophage,1.91586
168.75,430.5,Macrophage,0.41808
94.5,445.5,Macrophage,0.750706
134.75,500.75,Macrophage,0.618495
376.25,509.0,Macrophage,1.213886
374.25,515.5,Macrophage,0.698802
342.75,516.25,Macrophage,0.802695
317.25,523.5,Macrophage,0.75906
358.0,528.5,Macrophage,1.804656
367.75,537.25,Macrophage,0.849629
359.25,539.25,Macrophage,1.536106
265.0,542.25,Macrophage,0.28083
277.75,545.5,Macrophage,0.334959
366.0,546.5,Macrophage,0.815793
324.25,576.0,Macrophage,0.83212
368.25,587.25,Macrophage,0.914127
387.75,582.25,Macrophage,0.781141
357.75,589.5,Macrophage,0.602388
217.75,604.25,Macrophage,0.505223
190.75,606.25,Macrophage,0.249994
123.5,632.5,Macrophage,0.467091
392.5,648.75,Macrophage,0.664187
168.0,651.0,Macrophage,0.439113
164.75,659.0,Macrophage,0.369779
101.5,686.0,Macrophage,0.396241
106.0,689.0,Macrophage,0.375505
113.25,688.5,Macrophage,0.350012
161.75,691.75,Macrophage,0.274175
174.5,691.25,Macrophage,0.435971
82.5,706.75,Macrophage,0.292217
143.25,710.0,Macrophage,0.581795
130.5,722.0,Macrophage,1.623624
343.0,724.0,Macrophage,1.55069
349.75,736.5,Macrophage,0.603025
347.0,742.0,Macrophage,0.540754
296.75,746.75,Macrophage,0.315563
351.25,749.25,Macrophage,0.65389
451.75,749.5,Macrophage,0.38309
334.5,758.0,Macrophage,0.880011
340.0,763.5,Macrophage,0.682376
347.5,762.75,Macrophage,0.69253
154.25,765.5,Macrophage,2.130797
331.5,765.75,Macrophage,0.484379
108.0,765.5,Macrophage,1.106767
142.25,767.5,Macrophage,1.630118
114.0,773.25,Macrophage,0.646142
85.25,772.75,Macrophage,2.061725
340.5,774.25,Macrophage,0.524213
230.25,776.25,Macrophage,0.557077
319.75,778.5,Macrophage,0.427954
178.75,798.25,Macrophage,0.518571
247.5,801.75,Macrophage,0.388999
186.0,802.5,Macrophage,0.826635
342.0,809.25,Macrophage,1.150793
249.25,810.0,Macrophage,0.349485
530.25,422.0,Macrophage,0.587538
571.75,421.75,Macrophage,2.030593
533.75,444.5,Macrophage,0.897804
604.25,448.25,Macrophage,0.557138
536.25,453.25,Macrophage,0.684447
543.25,452.75,Macrophage,1.10525
855.5,468.25,Macrophage,0.672342
566.5,469.75,Macrophage,0.723865
654.25,519.75,Macrophage,1.435582
551.25,521.0,Macrophage,0.489831
553.5,530.25,Macrophage,0.37528
534.0,530.25,Macrophage,0.42747
656.75,531.75,Macrophage,1.711503
561.25,561.25,Macrophage,0.577729
572.75,566.5,Macrophage,0.430057
873.25,570.0,Macrophage,0.375815
582.0,572.75,Macrophage,0.496998
569.0,579.0,Macrophage,0.596313
524.5,579.25,Macrophage,0.600318
729.75,582.75,Macrophage,1.162908
532.0,585.25,Macrophage,0.949876
826.75,587.0,Macrophage,0.802768
729.25,593.25,Macrophage,2.249352
538.5,601.5,Macrophage,0.600767
842.5,597.25,Macrophage,0.517676
607.0,606.5,Macrophage,0.441301
849.0,608.0,Macrophage,0.66505
837.0,612.0,Macrophage,0.360395
600.5,626.25,Macrophage,0.338456
656.0,644.5,Macrophage,0.483563
558.75,648.5,Macrophage,0.784691
874.25,670.5,Macrophage,1.623512
823.25,678.25,Macrophage,1.443132
689.0,688.25,Macrophage,0.303041
834.0,690.25,Macrophage,1.720285
837.75,704.75,Macrophage,1.071947
817.0,715.5,Macrophage,2.016633
837.5,735.5,Macrophage,1.372394
784.75,735.5,Macrophage,0.672385
692.0,744.5,Macrophage,0.847264
485.75,746.25,Macrophage,0.455155
850.0,750.5,Macrophage,1.565604
687.5,750.5,Macrophage,0.686778
766.75,754.75,Macrophage,0.34314
492.0,754.5,Macrophage,0.427659
592.5,756.75,Macrophage,0.496172
824.0,761.0,Macrophage,1.576257
734.25,770.25,Macrophage,0.523167
864.5,772.75,Macrophage,0.881651
750.5,773.0,Macrophage,0.935232
862.25,780.5,Macrophage,1.774239
599.0,805.25,Macrophage,0.610254
594.25,815.25,Macrophage,0.346332
985.5,428.0,Macrophage,0.645254
976.0,427.75,Macrophage,0.544103
943.0,432.75,Macrophage,0.77343
982.5,441.5,Macrophage,1.035931
974.5,442.0,Macrophage,1.712392
881.25,448.75,Macrophage,0.862422
912.25,515.25,Macrophage,0.482849
900.75,660.25,Macrophage,0.266659
960.5,674.5,Macrophage,2.402463
971.75,696.5,Macrophage,1.084753
949.5,710.75,Macrophage,1.087596
948.0,722.5,Macrophage,0.322171
919.75,810.5,Macrophage,0.7268
2.5,923.5,Macrophage,0.777223
4.0,934.0,Macrophage,0.343297
15.0,933.0,Macrophage,0.575058
32.0,938.5,Macrophage,0.317272
13.25,942.5,Macrophage,0.494276
20.75,943.75,Macrophage,0.42919
24.0,951.25,Macrophage,0.336263
60.0,969.25,Macrophage,0.599204
51.25,998.25,Macrophage,0.444759
197.5,824.25,Macrophage,0.573302
192.0,825.75,Macrophage,0.718497
378.5,826.5,Macrophage,0.381525
224.0,837.5,Macrophage,0.29721
454.75,838.5,Macrophage,0.456557
393.0,844.0,Macrophage,0.498554
401.5,850.0,Macrophage,0.482955
456.25,852.75,Macrophage,0.486324
290.5,858.75,Macrophage,0.364839
444.75,859.5,Macrophage,0.422891
436.25,859.0,Macrophage,0.360164
300.75,860.25,Macrophage,0.423386
253.5,867.25,Macrophage,0.44567
230.75,867.75,Macrophage,0.298912
281.75,870.5,Macrophage,0.482889
336.75,919.25,Macrophage,0.344259
202.5,939.0,Macrophage,0.798122
383.75,967.25,Macrophage,0.425086
377.75,970.5,Macrophage,0.466545
238.25,982.5,Macrophage,0.458405
919.5,833.0,Macrophage,1.192295
980.75,855.25,Macrophage,0.772046
922.5,949.0,Macrophage,0.456187
861.75,819.5,Macrophage,0.589841
736.5,822.25,Macrophage,0.375705
597.5,824.5,Macrophage,1.130698
634.75,833.75,Macrophage,0.606395
823.25,833.75,Macrophage,0.375649
606.0,851.75,Macrophage,0.502468
661.5,853.0,Macrophage,0.898215
658.0,861.0,Macrophage,0.630776
810.75,871.25,Macrophage,2.022781
716.75,872.75,Macrophage,0.385238
671.75,881.0,Macrophage,1.776569
662.25,881.5,Macrophage,1.5134
807.25,885.5,Macrophage,2.138681
570.25,886.5,Macrophage,0.301667
814.0,887.5,Macrophage,0.510725
606.0,887.5,Macrophage,0.598577
706.75,893.25,Macrophage,0.39426
585.0,904.0,Macrophage,0.729353
722.75,903.5,Macrophage,0.454627
577.5,919.5,Macrophage,0.383086
852.5,922.5,Macrophage,0.874684
840.75,924.25,Macrophage,2.094058
869.75,930.0,Macrophage,0.332682
622.25,933.75,Macrophage,0.336865
629.25,936.5,Macrophage,0.340973
791.75,942.75,Macrophage,1.664824
866.75,944.25,Macrophage,0.754036
631.75,950.75,Macrophage,0.461965
868.5,969.75,Macrophage,0.6773
810.75,974.0,Macrophage,0.323776
719.5,983.0,Macrophage,0.519214
719.0,992.5,Macrophage,0.40921
726.75,995.25,Macrophage,0.483449
45.25,3.75,Neutrophil,2.612531
152.0,1.0,Neutrophil,2.082527
166.0,3.0,Neutrophil,1.286203
229.5,3.75,Neutrophil,0.847273
157.5,9.25,Neutrophil,1.436952
317.75,13.75,Neutrophil,1.385504
153.75,14.0,Neutrophil,1.168959
260.0,16.75,Neutrophil,0.499899
442.25,16.75,Neutrophil,1.013853
21.75,68.75,Neutrophil,1.461399
12.75,242.5,Neutrophil,0.602952
11.5,294.25,Neutrophil,0.77346
61.0,363.75,Neutrophil,0.468651
203.25,90.0,Neutrophil,0.878605
207.0,98.0,Neutrophil,0.991751
